loss,mae,val_loss,val_mae
5531.51611328125,62.95648956298828,5685.89306640625,64.4549789428711
4368.5087890625,55.07210159301758,4627.09130859375,57.70573806762695
3525.111083984375,49.355220794677734,3791.740234375,52.288185119628906
2917.4375,45.166263580322266,3180.91015625,48.24197006225586
2478.4921875,42.051918029785156,2736.43017578125,45.218021392822266
2186.69140625,40.026485443115234,2420.155029296875,42.997840881347656
1982.320068359375,38.547176361083984,2202.06103515625,41.40457534790039
1860.0849609375,37.61675262451172,2055.401611328125,40.281097412109375
1785.239013671875,37.010807037353516,1962.388671875,39.529048919677734
1746.08447265625,36.707523345947266,1903.0377197265625,39.02030563354492
1722.0518798828125,36.50385665893555,1865.03466796875,38.673587799072266
1716.91845703125,36.40879440307617,1842.8817138671875,38.4593391418457
1721.5897216796875,36.50009536743164,1830.2528076171875,38.33110046386719
1720.1334228515625,36.414737701416016,1822.7049560546875,38.251075744628906
1713.4395751953125,36.34099197387695,1818.692626953125,38.20781326293945
1712.9114990234375,36.3664665222168,1816.603271484375,38.18544387817383
1715.0814208984375,36.36745834350586,1814.51708984375,38.1626091003418
1709.5716552734375,36.308162689208984,1813.1097412109375,38.14690017700195
1710.4256591796875,36.30556869506836,1813.42431640625,38.15043258666992
1714.779296875,36.37035369873047,1814.573974609375,38.16324234008789
1713.2955322265625,36.310089111328125,1816.7283935546875,38.18679428100586
1718.2957763671875,36.3876953125,1816.9849853515625,38.18956756591797
1709.8253173828125,36.32924270629883,1812.0960693359375,38.13542938232422
1713.67578125,36.36780548095703,1813.2259521484375,38.1482048034668
1713.7508544921875,36.336082458496094,1814.610595703125,38.163639068603516
1716.0159912109375,36.36198043823242,1814.4365234375,38.161712646484375
1711.1640625,36.3015022277832,1816.384765625,38.183067321777344
1716.0933837890625,36.366554260253906,1815.5460205078125,38.17393493652344
1713.443359375,36.34843444824219,1814.4053955078125,38.161373138427734
1718.63623046875,36.430381774902344,1815.3116455078125,38.17137908935547
1715.0020751953125,36.36971664428711,1817.4737548828125,38.19481658935547
1656.0267333984375,35.4788703918457,1446.557861328125,31.894882202148438
729.12841796875,21.216886520385742,592.1979370117188,20.14364242553711
401.913818359375,15.75125789642334,381.8196716308594,16.22760772705078
291.0122985839844,13.464211463928223,341.24932861328125,14.687012672424316
252.028076171875,12.496378898620605,268.06298828125,13.4262113571167
219.82627868652344,11.564077377319336,185.05319213867188,11.57656192779541
205.1615447998047,11.04039478302002,222.29457092285156,12.0615234375
191.88059997558594,10.562216758728027,155.4589080810547,10.272392272949219
184.50604248046875,10.311524391174316,150.30455017089844,9.858630180358887
184.10012817382812,10.259551048278809,168.3202362060547,10.229676246643066
175.13787841796875,9.884872436523438,168.65957641601562,9.97547435760498
172.66976928710938,9.809207916259766,144.31544494628906,9.372584342956543
168.91119384765625,9.645278930664062,223.61375427246094,11.286894798278809
175.6525115966797,9.845548629760742,235.21755981445312,11.630364418029785
166.71534729003906,9.586995124816895,205.89279174804688,10.330002784729004
164.59024047851562,9.494820594787598,176.64073181152344,10.028705596923828
162.83148193359375,9.426775932312012,151.9105224609375,9.515240669250488
161.79750061035156,9.347176551818848,153.4708709716797,9.265087127685547
164.83053588867188,9.468531608581543,136.27609252929688,8.975053787231445
